CVE_ESTADO,NOM_ESTADO,CVE_DIAGNO,DES_DIAGNO,CVE_CIE10,ACUMULADO,MENORES_1,DE01_A_04,DE05_A_09,DE10_A_14,DE15_A_19,DE20_A_24,DE25_A_44,DE45_A_49,DE50_A_59,DE60_A_64,DE65_Y_MAS,SE_IGNORAN,SSA,IMSS_ORD,ISSSTE,OTRAS,IMSS_SOL,D_IF,PEMEX,SEDENA,SEDEMAR,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,PERIODO,MENORES_1F,DE01_A_04F,DE05_A_09F,DE10_A_14F,DE15_A_19F,DE20_A_24F,DE25_A_44F,DE45_A_49F,DE50_A_59F,DE60_A_64F,DE65_Y_MAF,SE_IGNORAF,TOTALM,TOTALF,SSAM,IMSS_ORDM,ISSSTEM,OTRASM,IMSS_SOLM,D_IFM,PEMEXM,SEDENAM,SEDEMARM,SSAF,IMSS_ORDF,ISSSTEF,OTRASF,IMSS_SOLF,D_IFF,PEMEXF,SEDENAF,SEDEMARF,ENEROM,FEBREROM,MARZOM,ABRILM,MAYOM,JUNIOM,JULIOM,AGOSTOM,SEPTIEMBRM,OCTUBREM,NOVIEMBREM,DICIEMBREM,ENEROF,FEBREROF,MARZOF,ABRILF,MAYOF,JUNIOF,JULIOF,AGOSTOF,SEPTIEMBRF,OCTUBREF,NOVIEMBREF,DICIEMBREF
8,CHIHUAHUA,178,Fiebre paratifoidea,A01.1-A01.4,266,0,2,7,9,10,16,23,9,14,2,5,0,165,0,1,94,6,0,0,0,0,64,35,33,14,32,5,21,19,20,16,5,2,2017,0,3,6,7,18,26,61,14,19,5,10,0,97,169,51,0,1,43,2,0,0,0,0,114,0,0,51,4,0,0,0,0,24,16,8,5,12,2,10,10,5,4,1,0,40,19,25,9,20,3,11,9,15,12,4,2
8,CHIHUAHUA,93,Otras infecciones intestinales debidas a protozoarios,"A07.0, A07.2, A07.9",968,20,90,67,37,20,28,80,29,33,10,17,0,180,0,106,569,101,0,0,12,0,25,57,116,81,92,80,99,136,79,67,94,42,2017,27,97,63,41,40,34,104,44,40,18,29,0,431,537,75,0,42,253,52,0,0,9,0,105,0,64,316,49,0,0,3,0,7,27,57,31,43,39,50,56,29,26,48,18,18,30,59,50,49,41,49,80,50,41,46,24
9,CIUDAD DE MÉXICO,2,Amebiasis intestinal,"A06.0-A06.3, A06.9",6621,69,347,387,281,173,235,645,174,236,134,232,1,1953,2891,841,743,4,125,2,26,36,570,669,796,463,634,608,519,688,389,430,502,353,2017,55,359,362,310,219,266,843,300,438,214,341,0,2914,3707,829,1265,358,360,0,64,1,19,18,1124,1626,483,383,4,61,1,7,18,242,286,348,201,276,268,235,321,173,180,231,153,328,383,448,262,358,340,284,367,216,250,271,200
9,CIUDAD DE MÉXICO,5,Shigelosis,A03,38,0,4,2,2,1,3,2,1,1,1,0,0,8,4,7,19,0,0,0,0,0,1,5,2,2,4,7,1,1,7,2,4,2,2017,0,1,3,2,3,1,5,2,4,0,0,0,17,21,5,3,3,6,0,0,0,0,0,3,1,4,13,0,0,0,0,0,0,5,1,2,1,3,0,0,4,0,0,1,1,0,1,0,3,4,1,1,3,2,4,1
9,CIUDAD DE MÉXICO,6,Fiebre tifoidea,A01.0,156,1,0,2,10,8,8,21,14,9,3,2,0,46,3,64,43,0,0,0,0,0,11,24,31,10,10,29,11,11,10,4,4,1,2017,0,0,2,4,15,13,20,9,11,1,3,0,78,78,23,1,31,23,0,0,0,0,0,23,2,33,20,0,0,0,0,0,4,12,18,6,5,13,7,4,4,2,3,0,7,12,13,4,5,16,4,7,6,2,1,1
9,CIUDAD DE MÉXICO,7,Giardiasis,A07.1,508,3,51,42,30,11,13,16,13,13,7,16,0,227,163,51,54,0,11,0,2,0,38,60,57,42,50,50,67,44,25,34,25,16,2017,4,53,30,33,12,17,46,14,41,13,30,0,215,293,90,66,25,28,0,6,0,0,0,137,97,26,26,0,5,0,2,0,19,22,30,17,20,25,24,20,11,13,8,6,19,38,27,25,30,25,43,24,14,21,17,10
9,CIUDAD DE MÉXICO,8,Infecciones intestinales por otros organismos y las mal definidas,"A04, A08-A09 excepto A08.0",449762,9537,26337,20524,14515,11039,18284,53261,13393,17203,8491,14475,27,57642,201239,74618,105574,424,2097,3672,3428,1068,33825,40592,45968,32556,43741,35417,36208,41522,27132,27786,37276,47739,2017,9216,24402,19434,13373,11928,19211,60332,18840,28516,13262,24146,16,207086,242676,28805,90465,31918,50592,159,937,1683,1979,548,28837,110774,42700,54982,265,1160,1989,1449,520,15518,18614,20743,14743,19462,15805,16782,19304,12833,12914,17564,22804,18307,21978,25225,17813,24279,19612,19426,22218,14299,14872,19712,24935
9,CIUDAD DE MÉXICO,178,Fiebre paratifoidea,A01.1-A01.4,27,0,0,0,0,0,0,3,3,0,0,2,0,5,0,12,8,0,0,0,0,2,5,2,2,3,6,1,1,2,0,2,2,1,2017,0,1,1,0,1,0,9,2,3,0,2,0,8,19,3,0,3,1,0,0,0,0,1,2,0,9,7,0,0,0,0,1,2,1,1,0,1,0,1,0,0,0,2,0,3,1,1,3,5,1,0,2,0,2,0,1
9,CIUDAD DE MÉXICO,93,Otras infecciones intestinales debidas a protozoarios,"A07.0, A07.2, A07.9",3534,21,150,218,172,110,128,341,143,166,88,93,0,1014,3,1636,456,9,139,1,151,125,377,462,383,260,342,265,255,342,179,203,306,160,2017,15,203,191,166,120,168,401,178,243,114,105,0,1630,1904,438,2,746,215,4,61,1,105,58,576,1,890,241,5,78,0,46,67,154,213,178,121,159,127,117,154,88,85,172,62,223,249,205,139,183,138,138,188,91,118,134,98
9,CIUDAD DE MÉXICO,1,Cólera,A00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
